,text,original,generated
0,"Its so so so last, last
",0,0
1,"Im gonna be where you are when you least expect me
",0,0
2,"Not know you coming
",0,0
3,"Its not so pretty
",0,0
4,"Rent free of all the pain
",0,0
5,"Hey, that wasnt my intention, I did it for a reason
",0,0
6,"makes a skin and
",0,0
7,"Here, here
",0,0
8,"Myself, girl
",0,0
9,"Myself, Ill spit it back
",0,0
10,"Yeah,Light another candle and
",0,0
11,"Though I was hungry for the rest
",0,0
12,"Run in
",0,0
13,"see
",0,0
14,"Wear, its always here
",0,0
15,"Feel light of life in the mountains
",0,0
16,"Doors and there
",0,0
17,"Cant get theor
",0,0
18,"Feel myself in your eyes
",0,0
19,"Myself, I think maybe
",0,0
20,"Myself.
",0,0
21,"Myself, I can fly
",0,0
22,"alling out again
",0,0
23,"Myself, my Iron Lung, my Iron Lung
",0,0
24,"I-R-A-Spinning plates
",0,0
25,"Somewhere over there
",0,0
26,"Its not the right place
",0,0
27,"Myself, I dance, you dance, you dance
",0,0
28,"pa-pa-pa-pa-pa-pa
",0,0
29,"Isnt your friends
",0,0
30,"Ive been around
",0,0
31,"Everything is gonna come out of here
",0,0
32,"Can never walk out again
",0,0
33,"Myself, who am I
",0,0
34,"ANYUCK, Lewis, Lewis, Lewis, Lewis
",0,0
35,"Wheres the truth
",0,0
36,"Caught in, say goodbye
",0,0
37,"Stars andWait and that shit can be sorted out of the box
",0,0
38,"Weve been around
",0,0
39,"And Ive been around for so long
",0,0
40,"No no no no no no no no no no no no no no no no no no no no no no no
",0,0
41,"Im gonna be good
",0,0
42,"The car could be amazed if you walk
",0,0
43,"I need you
",0,0
44,"Wish that I could be good if you couldve been good if youre not so good
",0,0
45,"Myself, its always been like this
",0,0
46,"When youve got the gift
",0,0
47,"Ive been around for so long
",0,0
48,"Come up from the wings
",0,0
49,"When Im gonna talk
",0,0
50,"Karma Police, arrest
",0,0
51,"Wish I was special, wish I was special
",0,0
52,"Myself, Ill wash up again
",0,0
53,"Es like ghosts
",0,0
54,"Get to my knees
",0,0
55,"Ive known so very good
",0,0
56,"Myself, you left me alone
",0,0
57,"Youve been away for so long
",0,0
58,"First, last, final
",0,0
59,"Ve been walking in your eyes
",0,0
60,"Myself, myself, I am the future
",0,0
61,"This girl is the girl in the car
",0,0
62,"I dont understand where it is I am coming of
",0,0
63,"No one else but I did!
",0,0
64,"Myself, what do I care?
",0,0
65,"mein
",0,0
66,"Ive been where I liked
",0,0
67,"Do you know what youre thinking
",0,0
68,"Myself, my friend
",0,0
69,"This girl is going think about if youre gonna be around
",0,0
70,"re not yours
",0,0
71,"chasing us with the lemon
",0,0
72,"All over the planet
",0,0
73,"I’m to Go to
",0,0
74,"Its so near
",0,0
75,"When Im at the edge of the crack
",0,0
76,"Myself, Ive had a hard and cold dream
",0,0
77,"Its so so so so near
",0,0
78,"Oh no, no
",0,0
79,"Morning, begin
",0,0
80,"Clingingling
",0,0
81,"And I wont let this happen to my children.
",0,0
82,"And Ive been around
",0,0
83,"No no noo nobe, noo be
",0,0
84,"makes herre board
",0,0
85,"Was gonna do
",0,0
86,"Here Im a pain
",0,0
87,"Es very near
",0,0
88,"Yeah. that there
",0,0
89,"We
",0,0
90,"Wont blow mind
",0,0
91,"Stars arent stars but we all
",0,0
92,"And left me alone
",0,0
