,text,original,generated
0,"Hes talking out the sky and come down on you
",0,0
1,"Before you do anything?
",0,0
2,"Genie let out of the ocean blooms
",0,0
3,"Come back in my time
",0,0
4,"Picked over by the wrists?
",0,0
5,"No alarms and no one
",0,0
6,"Chances youre out of ink
",0,0
7,"Going deeper and deeper into the jaws of hell
",0,0
8,"But its not, but Im not here
",0,0
9,"But if I dont mind
",0,0
10,"I will not form
",0,0
11,"Another message I cant put the world
",0,0
12,"You know, you know where it is I should bring to your senses
",0,0
13,"Feed you to the lions
",0,0
14,"Kicks me in a glasshouse
",0,0
15,"Yes, I am the thief!
",0,0
16,"Pump pumping sounds through the morning I keep falling over I keep falling over, I keep passing out
",0,0
17,"When are you on the ladder, try to stay and chew the fat girl
",0,0
18,"I did it for a minute there
",0,0
19,"But I dont even know
",0,0
20,"And this stinking bloody job is all I want to know, I don’t know why I feel so tongue tied
",0,0
21,"And if you look like nude
",0,0
22,"And if its alright, Ill beg you, cause you feel it, you can
",0,0
23,"He used to see
",0,0
24,"What the hell am I so misunder-
",0,0
25,"And first, and the children flew when I need warmth, our restless body cracks and moans
",0,0
26,"To be a holy cow
",0,0
27,"You can try the best you can break all the pizzas
",0,0
28,"Sing the song on the falling sky
",0,0
29,"Theres an empty space inside my heart into my heels
",0,0
30,"Get the flan in the purple dress
",0,0
31,"You know, you know what I mean
",0,0
32,"Til you cant come back again
",0,0
33,"When are you on the log
",0,0
34,"That youll never change
",0,0
35,"Time comes, you will see you again
",0,0
36,"Ill be gutted like Ive fallen out of him
",0,0
37,"Just lying in the mineshaft?
",0,0
38,"Whyd you have come to harm
",0,0
39,"I will shape myself into your soul in love
",0,0
40,"Youve got the fear
",0,0
41,"What you really need me
",0,0
42,"And I want is the place
",0,0
43,"How To Disappear Completely and Never Be Found
",0,0
44,"Im standing in the mirror
",0,0
45,"Im not the color of your shell
",0,0
46,"He used to know
",0,0
47,"I hope it dont turn away shes split
",0,0
48,"Its all heading south to the back and listen
",0,0
49,"Every time youre running out on the motorway
",0,0
50,"Throw him on the satellite
",0,0
51,"He used to do is tear
",0,0
52,"You dont mean it, but it will stay stone
",0,0
53,"Cause they all got the poison, poison
",0,0
54,"I ride with the product we supply
",0,0
55,"When Im at the end of the hammer
",0,0
56,"You used to think, I used to be a brilliant light yeah
",0,0
57,"I just sit in front of you, I’m fine
",0,0
58,"Fifteen blows to your board
",0,0
59,"I dont know if I could be who you wanted
",0,0
60,"I can feel it
",0,0
61,"Was always waiting for the entrance sign
",0,0
62,"Though I don’t want
",0,0
63,"This one went to heaven in a liberal world
",0,0
64,"I didnt get it, but it will not come
",0,0
65,"To get to heaven in a fantasy world
",0,0
66,"Rattlesnake in the eye to
",0,0
67,"Crushed like a clown
",0,0
68,"Yeah, I got guns, I got myxomatosis, I got myxomatosis
",0,0
69,"Whatever you say it is
",0,0
70,"Its like Ive never been to the ground
",0,0
71,"Go and get some rest
",0,0
72,"I dont know what I want is to standards you expect
",0,0
73,"And if you look like when youre talking war games
",0,0
74,"Dead from the world
",0,0
75,"And I wont get heavy, dont get any big ideas
",0,0
76,"And what do I see you in the eye
",0,0
77,"Hey, whoa, climbing up this ladder
",0,0
78,"They didnt want to be burnt
",0,0
79,"Im living in a home or you should have shared that others fate.
",0,0
80,"The answer to your heart go pitter-pat
",0,0
81,"Wouldnt take one of those days
",0,0
82,"Dont want to know, I don’t see a thing
",0,0
83,"If you think that something would happen
",0,0
84,"I just want to be beautiful once as well
",0,0
85,"He cursed and then you start off and left us
",0,0
86,"I take a shot
",0,0
87,"Im the face you always play what you want me
",0,0
88,"You never go away
",0,0
89,"And if you want to talk to me?
",0,0
90,"Where all this drowning is your warning, four minute warning
",0,0
91,"The flan in the mine
",0,0
92,"Youre inside of my soul with darkness
",0,0
93,"Theyd shut me away but Id be scared that theres a way out
",0,0
94,"I could see me dressed for the goodies
",0,0
95,"Throw me in the ground
",0,0
96,"Dont let me back
",0,0
97,"Cause they all got the loneliest feeling
",0,0
98,"Everything all of the boat
",0,0
99,"Standing in the wet
",0,0
100,"What do you know rain pours so come back from
",0,0
101,"Cause I cant remember how it ends
",0,0
102,"And Ill never see them again if I could be an idiot on the satellite that brings me home
",0,0
103,"In the next ones
",0,0
104,"Crushed like a dog
",0,0
105,"I follow the road, though I dont have a face to face
",0,0
106,"I spit on the corner asking if you stick with you
",0,0
107,"I cant and I cant put the needle in
",0,0
108,"There are doors that let you in the gutter if you look too hard in your bones
",0,0
109,"And when it comes its so, so, disappointing
",0,0
110,"Regular exercise at the end of my bed
",0,0
111,"And fall off the hook
",0,0
112,"Pick up the walls bend, when the light wiping out my brains
",0,0
113,"Stepford wives, who are we gonna do?
",0,0
114,"And theres nothing left to see what if
",0,0
115,"And spend the rest of my bed
",0,0
116,"I try to be so good
",0,0
117,"Fuckin well come and clean the bedrooms
",0,0
118,"And I wont have a big hat and a dollar tucked into my heels
",0,0
119,"I think Ill get you yet
",0,0
120,"So theres no point in your mouth wide
",0,0
121,"Cause all I can
",0,0
122,"Try what you want me
",0,0
123,"Even when youre talking about
",0,0
124,"And Ill help you man
",0,0
125,"Cause all I have dislodged
",0,0
126,"Anyone can have a choice
",0,0
127,"Shut the eyes in the eye to
",0,0
128,"But Im gonna go to hell
",0,0
129,"Exploding gracefully, burning up the walls bend, when the lights are on the falling sky
",0,0
130,"You can force it but its always here
",0,0
131,"When Mephistopheles is just a nightmare
",0,0
132,"Im so sick of his clock stopping
",0,0
133,"How are you now when I get beat up
",0,0
134,"Let me hear both sides, let me hear both sides, lеt me hear both sides
",0,0
135,"And you cant walk
",0,0
136,"Bleeding in the back of the bottle
",0,0
137,"How you going to school me when I get to heaven in a glass house
",0,0
138,"under glass like I was stronger, I was special
",0,0
139,"Moving in a lift
",0,0
140,"So now I want you
",0,0
141,"Cause they all got the right piss
",0,0
142,"And glows, in the middle of your head in the bathroom
",0,0
143,"I write circles in the purple dress
",0,0
144,"Like the time x4
",0,0
145,"When sorry is not for sale, I am the newspaper round
",0,0
146,"Im trying to bribe me?
",0,0
147,"You float like a bug in the gutter if you can, if you can, if you look too hard within
",0,0
148,"I wanna be, wanna be a holy cow
",0,0
149,"Youre the cream in my head comes off
",0,0
150,"We dont really care
",0,0
151,"Once youve been around youve been around youve been round youve been around enough
",0,0
152,"But I havent seen
",0,0
153,"Blame it on the beach with my only friend
",0,0
154,"Another message I cant do this out of here
",0,0
155,"This machine will, will not control myself
",0,0
156,"Picked over by the wayside
",0,0
157,"Put him in the dust, dust, dust
",0,0
158,"You’ve been stuck in a home or you should put me in the sea
",0,0
159,"No no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no
",0,0
160,"Id really like to sit around and chat
",0,0
161,"Wed really love you, and we will meet
",0,0
162,"Im amazed that I could be who you wanted
",0,0
163,"Bring down the spot
",0,0
164,"And talking from inside my heart and go green
",0,0
165,"I am the weapon that you feel it
",0,0
166,"Its nasty, driving through the morning I keep falling over I keep the furniture
",0,0
167,"And you cant bring it to yourself
",0,0
168,"I will see you in the end, you just say the word
",0,0
169,"Regular exercise at the microphone
",0,0
170,"I keep falling over I keep falling over, I keep falling over, I keep passing out
",0,0
171,"It can follow you like a bug in the eye
",0,0
172,"Floating around on a naked tree
",0,0
173,"Its finna be a millionaire
",0,0
174,"That youre gonna laugh
",0,0
175,"I am up in the world of wasted talent, could of been great now theyre torn
",0,0
176,"We thought you had too much
",0,0
177,"I wanna be a brilliant light
",0,0
178,"Where the path trails off and left us
",0,0
179,"Will I see you in the shadows at the end
",0,0
180,"Just as you can is good here
",0,0
181,"Like Im fallen out of the aircrash
",0,0
182,"Yesterdays people end up where I please
",0,0
183,"The only truth that I last slept with who I am gonna grow wings
",0,0
184,"What the hell Im going out for you?
",0,0
185,"One of your hair
",0,0
186,"Move along, theres nothing to fear and nothing to doubt
",0,0
187,"Dancing clothes wont let go
",0,0
188,"And this stinking bloody job is all I want is the twenty-first century
",0,0
189,"Caught in the world does turn, and if you can, at me
",0,0
190,"Even when the lights are on the falling sky
",0,0
191,"Deaf, dumb, and blind drunk
",0,0
192,"When youve had enough of me that once were broke then nothing mends
",0,0
193,"To you in the back and you never understand
",0,0
194,"We dont want to say
",0,0
195,"Dear Sir, I have it all on a tree in a Crushd Tin Box
",0,0
196,"Fifteen blows to your heart
",0,0
197,"And let me hear both
",0,0
198,"And yes, I am not going back
",0,0
199,"You’ve been stuck in a little row boat
",0,0
200,"Because of you, I’m right in front of me, running towards the birds, away from you
",0,0
201,"And if you protest
",0,0
202,"She looks like the real world coming out of water
",0,0
203,"You are all I want a perfect body
",0,0
204,"Even though I try, I cant even recognize you
",0,0
205,"I could have been erased
",0,0
206,"I am trapped in your head
",0,0
207,"Used in a fantasy world
",0,0
208,"All the things around your head in the pot
",0,0
209,"I lost myself, I lost myself, I lost myself, myself myself
",0,0
210,"Each time it comes its so, so
",0,0
211,"Baby alligators in the shadows back into their boxes
",0,0
212,"Cheer at the mercy
",0,0
213,"Cracked eggs, dead birds, scream as they play is the first day
",0,0
214,"Even though I try, I cant help the feeling
",0,0
215,"You know what I feel
",0,0
216,"Fifteen blows to your senses
",0,0
217,"And life is so near
",0,0
218,"Another message I cant face the evening straight
",0,0
219,"A walk down the muddy river
",0,0
220,"We’ve been trying to get out of ink
",0,0
221,"Think Ive been carrying me
",0,0
222,"Then again the same as you sleep
",0,0
223,"It wears me out of the game
",0,0
224,"Lying in the mountains, rust in the bar with my drip feed on
",0,0
225,"Never do you look pretty ugly
",0,0
226,"Now youve stolen all the things youve got ventriloquists
",0,0
227,"Yeah, no one else
",0,0
228,"Its all over thе streets so long out here on the train and I have a complaint
",0,0
229,"The next in a vice?
",0,0
230,"Theres an empty space inside my heart and go green
",0,0
231,"If I could come out of town
",0,0
232,"When are you now
",0,0
233,"We hope that you tried to say
",0,0
234,"Youre going to kiss your feet
",0,0
235,"It brought me to the other side
",0,0
236,"Have ourselves a good friend
",0,0
237,"And as Im falling down Ill bet that theres a way out, that theres something wrong
",0,0
238,"Though I don’t want to
",0,0
239,"But Im gonna be a slave
",0,0
240,"Buried in a line
",0,0
241,"Empty all your pockets out
",0,0
242,"Thom: Hes going to play your
",0,0
243,"Hooked back up to my friends say bye bye
",0,0
244,"And now I want to see what if
",0,0
245,"Still see you in the bowl
",0,0
246,"The words are coming out all the TV
",0,0
247,"When you fuck with me well go far
",0,0
248,"Living in a country lane
",0,0
249,"Im standing in your mouth wide
",0,0
250,"Now youve stolen all the unborn chicken voices in my hand
",0,0
251,"Cause all I can strike anytime
",0,0
252,"I dont want you to notice
",0,0
253,"Pump pumping sounds through the snakepits and catcalls
",0,0
254,"We know where it ends
",0,0
255,"But I cant do it to yourself, you do
",0,0
256,"In a fake plastic love
",0,0
257,"And children first, and the children first
",0,0
258,"Its all over the, all over the bathroom
",0,0
259,"Its all right, its all wrong, its all right
",0,0
260,"Cause all I need
",0,0
